treatment,pri2000s,pri2000v,t2000,t2000r,pri1994,pan1994,prd1994,pri1994s,pri1994v,pan1994s,pan1994v,prd1994s,prd1994v,t1994,t1994r,votos1994,avgpoverty,pobtot1994,villages
1,40.82396924,73.15436242,55.80524206,60.56910569,102,3,23,45.75988948,77.27272727,1.345879119,2.272727273,10.31840667,17.42424242,60.5645597,67.00507614,135,5,541,4
1,22.44186103,73.52380952,31.22093081,50.28735632,245,18,14,15.11537731,65.68364611,1.110517513,4.825737265,0.863735843,3.753351206,23.81443083,55.83832335,386,5,3289,2
1,38.93129826,87.03071672,47.02289999,42.52539913,52,8,4,7.988569885,50.98039216,1.229010802,7.843137255,0.614505401,3.921568627,21.66131437,35.54006969,141,4.5,1320,2
1,31.16883039,71.28712871,45.02164423,49.75369458,58,6,7,29.1621536,73.41772152,3.016774729,7.594936709,3.519570455,8.860759494,40.22366107,56.83453237,80,5,384,1
0,76.9230783,78.94736842,100,48.40764331,30,0,38,20.17038465,43.47826087,0,0,25.54915249,55.07246377,46.39188349,48.5915493,69,5,307,1
0,23.8532111,65.40880503,37.38532066,34.79212254,128,0,20,32.819736,51.82186235,0,0,5.128083751,8.097165992,63.3318305,68.61111111,247,5,840,6
1,47.31182754,75.42857143,64.87455368,44.64285714,47,8,9,12.28256449,43.11926606,2.090649307,7.339449541,2.35198047,8.256880734,28.4850955,34.0625,109,5,790,1
1,21.40762508,38.62433862,58.0645144,52.35457064,30,1,99,9.942300618,19.60784314,0.331410021,0.653594771,32.80959129,64.70588235,61.64225936,56.66666667,186,5,632,2
1,56.4814806,89.70588235,71.2962985,50.74626866,274,0,30,178.1627059,89.83606557,0,0,19.50686574,9.836065574,204.1718483,211.8055556,314,5,356,2
1,36.61971688,71.55963303,51.17371082,50.23041475,81,4,14,40.3011173,81,1.9901786,4,6.965625286,14,51.24710202,68.49315068,103,5,435,2
1,17.05426425,30.9314587,57.26743937,53.67924528,160,4,352,25.11850893,29.96254682,0.627962733,0.74906367,55.26071787,65.917603,92.15353131,66.83354193,587,5,1423,9
1,12.18516007,39.95535714,31.31381869,53.33333333,208,9,202,16.17646515,48.94117647,0.699943164,2.117647059,15.70983529,47.52941176,33.05287361,68.88168558,425,4.833333492,2949,8
0,10.42003259,55.84415584,18.90145391,51.33333333,137,0,26,16.85275584,83.03030303,0,0,3.198333457,15.75757576,20.66615373,68.75,168,5,1762,8
0,30.58823645,65.54621849,49.0196079,44.07407407,56,0,2,21.84334695,96.55172414,0,0,0.780119514,3.448275862,22.62346596,28.71287129,58,5,561,1
