,wkr,wkrname,bula,year,Flooded,PostPeriod,spd_e_vs,spd_z_vs,cdu_e_vs,cdu_z_vs,pds_e_vs,pds_z_vs,del_spd_z_vs,Lagspd_z_vs,popdensity,shpop_o60,shmanu
1,1,Flensburg - Schleswig,901,1998,0,0,50.15164566,47.18673706,42.37702942,35.36331558,1.022668123,1.325985551,NA,NA,0.130887076,21.51689952,30.62999099
2,1,Flensburg - Schleswig,901,2002,0,1,48.66908264,44.01642227,41.33802795,36.41896057,1.133820176,1.291110873,-3.170314789,47.18673706,0.132591575,23.29999924,27.70000076
3,2,Nordfriesland - Dithmarschen-Nord,901,1998,0,0,46.33581161,43.52507401,45.4370575,39.1748085,1.049719453,1.115254641,NA,NA,0.079719231,22.16783449,25.26164989
4,2,Nordfriesland - Dithmarschen-Nord,901,2002,0,1,44.06388855,42.4104805,44.29577255,39.98152542,1.115275502,1.110559106,-1.114593506,43.52507401,0.081506304,24,21.89999962
5,3,Steinburg - Dithmarschen-SŸd,901,1998,0,0,47.93717575,44.64988327,44.7516098,37.8718071,1.218178272,1.203356504,NA,NA,0.117677391,21.87329196,42.79988287
6,3,Steinburg - Dithmarschen-SŸd,901,2002,0,1,45.78980637,41.21572113,43.00174332,38.54606628,1.271558881,1.275381565,-3.43416214,44.64988327,0.111019231,24.10000038,36.90000153
7,4,Rendsburg-Eckernfšrde,901,1998,0,0,49.19561768,44.94543076,42.02790451,36.52769089,0.94943428,1.255362034,NA,NA,0.117552049,20.78873145,33.95209944
8,4,Rendsburg-Eckernfšrde,901,2002,0,1,48.09201813,42.6204567,40.44544983,37.32159042,1.022679567,1.166042089,-2.32497406,44.94543076,0.111841649,22.60000038,28.70000076
9,5,Kiel,901,1998,0,0,53.93574142,48.29032516,33.53344727,28.98202896,1.638629436,2.321468115,NA,NA,1.709133267,21.24791061,24.69705803
10,5,Kiel,901,2002,0,1,53.70474625,44.27720642,30.79509735,27.94138145,2.009757519,2.151625156,-4.013118744,48.29032516,1.779269934,22.60000038,21.39999962
11,6,Plšn - NeumŸnster,901,1998,0,0,50.76749802,47.30971146,40.50513458,35.36581802,0.052981097,1.474992394,NA,NA,0.177056789,21.60209823,34.96280887
12,6,Plšn - NeumŸnster,901,2002,0,1,47.90839767,44.55122375,38.78618622,35.80832291,1.027926922,1.22125864,-2.758487701,47.30971146,0.168100789,23.79999924,28.79999924
13,7,Pinneberg,901,1998,0,0,47.87593842,44.91405106,42.04448318,35.42180252,1.201317906,1.47411716,NA,NA,0.41754815,20.91702965,37.40913891
14,7,Pinneberg,901,2002,0,1,46.35300827,41.55411911,41.02289581,35.5008049,1.032732844,1.186860561,-3.359931946,44.91405106,0.424504995,23.10000038,31.79999924
15,8,Segeberg - Stormarn-Nord,901,1998,0,0,47.35911179,44.18468857,43.4902153,36.71199036,1.166013718,1.473722458,NA,NA,0.177485347,18.90230071,38.06905241
16,8,Segeberg - Stormarn-Nord,901,2002,0,1,46.72761917,41.18174362,40.48888016,36.66514587,1.060585737,1.268146038,-3.002944946,44.18468857,0.211817071,20.89999962,35
17,9,Ostholstein,901,1998,0,0,48.00237274,44.90540695,45.23642731,37.90455627,0,1.17363143,NA,NA,0.138036788,24.4653884,30.22126884
18,9,Ostholstein,901,2002,0,1,48.53570557,43.98628616,40.99736786,38.24720764,0.92123282,0.954251647,-0.919120789,44.90540695,0.140541568,26.39999962,27.60000038
19,10,Herzogtum Lauenburg - Stormarn-SŸd,901,1998,0,0,46.90274048,42.70467377,43.01361847,37.014534,1.026459455,1.462752461,NA,NA,0.194646478,21.45851934,42.62216834
20,10,Herzogtum Lauenburg - Stormarn-SŸd,901,2002,1,1,46.10399246,39.98707199,42.30618286,37.71941376,1.020180702,1.149193883,-2.717601776,42.70467377,0.211049542,23.39999962,38.70000076
21,11,LŸbeck,901,1998,0,0,51.16289139,47.84991455,37.52017212,32.84635925,1.34397614,1.797783613,NA,NA,0.670332193,24.48186126,32.68530529
22,11,LŸbeck,901,2002,0,1,50.84426498,47.646595,34.61549759,31.75899315,1.898481488,1.605046511,-0.20331955,47.84991455,0.609573901,26.60000038,26.70000076
23,12,Wismar - Nordwestmecklenburg - Parchim,913,1998,0,0,41.05730057,38.58291626,30.61112976,27.84447098,22.31155396,21.95586014,NA,NA,0.070433214,18.77454924,35.2331565
24,12,Wismar - Nordwestmecklenburg - Parchim,913,2002,0,1,47.40122986,45.60196304,30.18407249,28.38947678,14.8103056,14.24392891,7.019046783,38.58291626,0.063467696,21.20000076,33.5
