"","year","country","leadername","age","politybefore","polityafter","interwarbefore","interwarafter","civilwarbefore","civilwarafter","result"
"1",1929,"Afghanistan","Habibullah Ghazi",39,-6,-6,0,0,1,0,"not wounded"
"2",1933,"Afghanistan","Nadir Shah",53,-6,-7.33333333333333,0,0,0,0,"dies within a day after the attack"
"3",1934,"Afghanistan","Hashim Khan",50,-6,-8,0,0,0,0,"survives, whether wounded unknown"
"4",1924,"Albania","Zogu",29,0,-9,0,0,0,0,"wounded lightly"
"5",1931,"Albania","Zogu",36,-9,-9,0,0,0,0,"not wounded"
"6",1968,"Algeria","Boumedienne",41,-9,-9,0,0,0,0,"wounded lightly"
"7",1992,"Algeria","Boudiaf",73,-2,-5.66666666666667,0,0,0,1,"dies within a day after the attack"
"8",1908,"Argentina","Alcorta",48,1,1,0,0,0,0,"plot stopped"
"9",1916,"Argentina","de la Plaza",76,2,2,0,0,0,0,"not wounded"
"10",1929,"Argentina","Irigoyen",77,2,-8,0,0,0,0,"not wounded"
"11",1976,"Argentina","Videla",51,6,-9,0,0,0,0,"not wounded"
"12",1977,"Argentina","Videla",52,1,-9,0,0,0,0,"not wounded"
"13",1916,"Australia","Hughes",52,10,10,1,1,0,0,"survives, whether wounded unknown"
"14",1975,"Australia","Fraser",45,10,10,1,0,0,0,"plot stopped"
"15",1920,"Austria","Renner",50,0,8,1,0,0,0,"not wounded"
"16",1924,"Austria","Seipel",48,8,8,0,0,0,0,"hospitalization but no permanent disability"
"17",1933,"Austria","Dollfuss",51,8,-9,0,0,0,1,"hospitalization but no permanent disability"
"18",1934,"Austria","Dollfuss",52,5,-9,0,0,0,0,"dies within a day after the attack"
"19",1902,"Belgium","Paul de Smet de Nayer",59,6,6,0,0,0,0,"not wounded"
"20",1965,"Bhutan","Wangchuk, Jigme Dorji",36,-8,-8,0,0,0,0,"not wounded"
"21",1945,"Bolivia","Villarroel",37,-5,-5,0,0,0,0,"not wounded"
"22",1946,"Bolivia","Gutierrez",62,-5,-5,0,0,0,0,"plot stopped"
"23",1964,"Bolivia","Barrientos Ortuna",45,-3,-4,0,0,0,0,"hospitalization but no permanent disability"
"24",1965,"Bolivia","Barrientos Ortuna",46,-3.33333333333333,-4,0,0,0,0,"hospitalization but no permanent disability"
"25",1897,"Brazil","de Moraes Barros",56,-3,-3,0,0,1,0,"not wounded"
"26",1994,"Burundi","Ntarymira",39,-3.33333333333333,-3.33333333333333,0,0,1,1,"dies within a day after the attack"
"27",1915,"Bulgaria","Ferdinand I",54,-9,-5.33333333333333,1,1,0,0,"survives, whether wounded unknown"
"28",1925,"Bulgaria","Boris III",31,-3,-3,0,0,1,0,"wounded lightly"
"29",1943,"Bulgaria","Boris III",49,-10,-4,1,1,0,0,"dies between a day and a week"
"30",1959,"Cambodia","Sihanouk",37,-9,-9,0,0,0,0,"not wounded"
"31",1973,"Cambodia","Lon Nol",60,-6,-4,1,1,1,1,"not wounded"
"32",1998,"Cambodia","Hun Sen",46,-1.66666666666667,2,0,0,1,0,"not wounded"
"33",1995,"Canada","Chretien",56,10,10,0,0,0,0,"plot stopped"
"34",2000,"Ivory Coast","Guei",59,-4.33333333333333,1.33333333333333,0,0,0,0,"not wounded"
"35",1976,"Chad","Malloum",44,-8.33333333333333,-3.33333333333333,0,0,0,0,"not wounded"
"36",1899,"Chile","F. Errazuriz Echaurren",49,3,3,0,0,0,0,"plot stopped"
"37",1929,"Chile","Ibanez Campo",52,-2,-2,0,0,0,0,"plot stopped"
"38",1930,"Chile","Ibanez del Campo",53,-2,-2,0,0,0,0,"plot stopped"
"39",1986,"Chile","Pinochet",71,-6,0.333333333333333,0,0,0,0,"wounded lightly"
"40",1910,"China","Zaifeng",28,-6,-0.666666666666667,0,0,0,1,"survives, whether wounded unknown"
"41",1929,"China","Chiang Kai-shek",43,-5,-5,0,1,1,1,"plot stopped"
"42",1931,"China","Chiang Kai-shek",45,-5,-5,1,1,1,1,"not wounded"
"43",1961,"China","Mao Tse-Tung",68,-8,-8,0,1,1,0,"survives, whether wounded unknown"
"44",1906,"Colombia","Reyes Prieto",57,-3.33333333333333,-5,0,0,1,0,"not wounded"
"45",1977,"Congo Brazzaville","Ngouabi",39,-7,-7.66666666666667,0,0,0,0,"dies within a day after the attack"
"46",1944,"Costa Rica","Picado Michalski",44,10,10,0,0,0,0,"survives, whether wounded unknown"
"47",1931,"Cuba","Machado Morales",60,1,2.33333333333333,0,0,0,0,"survives, whether wounded unknown"
"48",1934,"Cuba","Mendieta",61,1.66666666666667,3,0,0,0,0,"wounded lightly"
"49",1970,"Cyprus","Makarios",57,4.66666666666667,7,0,0,0,0,"not wounded"
"50",1954,"Czechoslovakia","Zapotocky",70,-7,-7,0,0,0,0,"wounded lightly"
"51",1899,"Dominican Rep","Heureaux",54,-3,-3,0,0,0,0,"dies within a day after the attack"
"52",1911,"Dominican Rep","Caceres",45,-3,-3,0,0,0,0,"dies within a day after the attack"
"53",1961,"Dominican Rep","Rafel Trujillo",70,-9,2.66666666666667,0,0,0,0,"dies within a day after the attack"
"54",2001,"Congo Kinshasa","Laurent Kabila",62,0,0,0,0,1,0,"dies within a day after the attack"
"55",1886,"Ecuador","Caamano",49,-1,-1,0,0,0,0,"not wounded"
"56",1949,"Ecuador","Plaza Lasso",43,0,2,0,0,0,0,"not wounded"
"57",1938,"Egypt","Farouk",18,1,1,0,0,0,0,"not wounded"
"58",1939,"Egypt","Farouk",19,1,1,0,0,0,0,"plot stopped"
"59",1974,"Egypt","Sadat",56,-7,-6.33333333333333,1,0,0,0,"not wounded"
"60",1981,"Egypt","Sadat",63,-6,-6,0,0,0,0,"dies within a day after the attack"
"61",1995,"Egypt","Mubarak",66,-6,-6,0,0,0,0,"not wounded"
"62",1999,"Egypt","Mubarak",70,-6,-6,0,0,0,0,"wounded lightly"
"63",1978,"Ethiopia","Mengistu Marriam",41,-7,-7,1,0,1,1,"wounded lightly"
"64",1910,"France","Briand",48,8,8,0,0,1,1,"wounded lightly"
"65",1911,"France","Briand",49,8,8,0,1,1,0,"not wounded"
"66",1919,"France","Clemenceau",78,8,9,1,1,1,0,"hospitalization but no permanent disability"
"67",1924,"France","Herriot",52,9,9,1,0,0,0,"not wounded"
"68",1932,"France","Herriot",60,9.66666666666667,10,0,0,0,0,"plot stopped"
"69",1943,"France","Laval",60,-9,3.66666666666667,1,1,0,0,"wounded lightly"
"70",1961,"France","De Gaulle",71,5,5,0,0,0,0,"not wounded"
"71",1962,"France","De Gaulle",72,5,5,0,0,0,0,"not wounded"
"72",1964,"France","De Gaulle",74,5,5,0,0,0,0,"plot stopped"
"73",1965,"France","De Gaulle",75,5,5,0,0,0,0,"plot stopped"
"74",1963,"Ghana","Nkurmah",54,-8.33333333333333,-8.33333333333333,0,0,0,0,"wounded lightly"
"75",1964,"Ghana","Nkurmah",55,-8.66666666666667,-7.66666666666667,0,0,0,0,"not wounded"
"76",1878,"Germany","Wilhelm I",81,-4,-4,0,0,0,0,"not wounded"
"77",1939,"Germany","Hitler",50,-9,-9,0,1,1,0,"not wounded"
"78",1898,"Greece","George I",53,10,10,1,0,0,0,"not wounded"
"79",1913,"Greece","George I",68,10,5.5,1,0,0,0,"dies within a day after the attack"
