"","nr","formulario","time","pidstr","frm2","frm3","frm4","age","female","income","educgrp","cordoba","info","pid","polar","mandate"
"1",1,3,1,NA,0,1,0,32,0,10,3,1,2,0,7,2
"2",2,4,1,NA,0,0,1,26,0,3,3,1,0,0,6,5
"3",3,1,1,3,0,0,0,34,0,5,3,1,2,1,5,4
"4",4,2,1,NA,1,0,0,30,0,5,3,1,0,0,4,5
"5",5,3,1,NA,0,1,0,22,0,8,3,1,0,0,NA,2
"6",6,4,2,NA,0,0,1,27,0,NA,3,1,1,0,NA,4
"7",7,1,2,8,0,0,0,72,1,4,3,1,1,1,8,1
"8",8,1,2,NA,0,0,0,27,0,5,4,1,1,0,NA,4
"9",9,2,2,10,1,0,0,24,1,10,4,1,2,1,7,2
"10",10,2,1,9,1,0,0,27,0,9,4,1,2,1,9,4
"11",11,2,1,NA,1,0,0,30,1,3,3,1,0,0,NA,1
"12",12,1,1,8,0,0,0,41,0,3,3,1,2,1,10,1
"13",13,1,1,NA,0,0,0,27,1,4,3,1,0,0,6,1
"14",14,4,2,7,0,0,1,50,0,4,3,1,2,1,5,4
"15",15,3,1,NA,0,1,0,43,0,5,4,1,2,0,0,3
"16",16,3,1,NA,0,1,0,55,1,6,4,1,2,0,5,1
"17",17,1,1,NA,0,0,0,55,1,10,3,1,1,0,10,3
"18",18,3,1,NA,0,1,0,41,1,3,2,1,1,0,10,2
"19",19,2,2,9,1,0,0,40,1,6,4,1,1,1,8,1
"20",20,4,2,8,0,0,1,29,0,3,2,1,1,1,9,1
"21",21,4,1,8,0,0,1,48,1,4,2,1,1,1,8,1
"22",22,3,1,9,0,1,0,69,1,NA,4,1,1,1,6,2
"23",23,3,2,NA,0,1,0,25,1,NA,3,1,1,0,NA,4
"24",24,2,1,NA,1,0,0,22,1,3,3,1,2,0,9,1
"25",25,1,1,NA,0,0,0,41,1,3,4,1,1,0,2,3
"26",26,1,1,NA,0,0,0,39,0,4,3,1,2,0,9,1
"27",27,4,2,5,0,0,1,22,1,4,3,1,2,1,10,3
"28",28,2,1,NA,1,0,0,22,0,5,3,1,1,0,NA,1
"29",29,1,1,NA,0,0,0,21,0,4,2,1,0,0,NA,2
